index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
497,200.0,136.0,1270.0,596.0,200.0,0.0,0.0,2.0,39.012017570674544,39.012017570674544,0.0
1261,330.0,176.0,928.0,722.0,0.0,0.0,220.0,10.0,62.8776670759755,62.8776670759755,0.0
411,270.0,198.0,857.0,816.0,0.0,45.0,135.0,4.56,67.11831762189735,67.11831762189735,0.0
1046,324.0,293.5,791.0,631.0,0.0,23.0,116.0,0.0,28.68716731821953,28.68716731821953,0.0
1033,142.5,190.0,746.1,929.1,71.25,23.75,237.5,1.425,29.360933184512383,29.360933184512383,0.0
613,400.0,210.0,698.5,888.8,0.0,100.0,0.0,1.7,56.884029316889055,56.884029316889055,0.0
218,213.8,181.7,1066.0,785.5,24.5,0.0,98.1,6.7,44.56165230403723,44.56165230403723,0.0
1182,525.0,225.0,570.0,688.0,187.5,37.5,0.0,9.75,49.6728869633432,49.6728869633432,0.0
1191,225.0,189.0,776.8,977.9,0.0,45.0,180.0,2.02,37.54538161722399,37.54538161722399,0.0
885,138.0,205.3,1007.0,635.0,92.0,46.0,184.0,1.84,33.679254569317074,33.679254569317074,0.0
1099,360.0,180.0,868.0,941.0,40.0,0.0,0.0,0.0,29.35417923672484,29.35417923672484,0.0
607,175.0,175.0,1021.0,830.0,0.0,0.0,175.0,3.5,38.31390964095147,38.31390964095147,0.0
1058,395.25,200.0,737.0,937.5,0.0,69.75,0.0,3.72,39.103646935174794,39.103646935174794,0.0
566,382.5,153.0,1122.5,653.0,127.5,0.0,0.0,15.3,46.15109449276038,46.15109449276038,0.0
810,248.0,226.24,806.0,853.0,248.0,0.0,0.0,5.0,21.606904045733323,21.606904045733323,0.0
1032,154.375,190.0,746.8,930.0,71.25,11.875,237.5,1.425,29.62206496117571,29.62206496117571,0.0
168,318.9,212.7,860.5,725.0,124.8,0.0,0.0,5.7,29.584597025775086,29.584597025775086,0.0
1043,324.0,271.7,813.0,631.0,0.0,23.0,116.0,0.0,32.04079657712883,32.04079657712883,0.0
926,94.8,168.0,820.0,807.0,0.0,0.0,379.2,1.69,51.853728127712316,51.853728127712316,0.0
67,373.0,200.0,778.0,878.0,81.5,0.0,0.0,5.82,51.397110872521914,51.397110872521914,0.0
1037,324.0,250.0,836.0,631.0,0.0,23.0,116.0,0.0,35.321301474607495,35.321301474607495,0.0
451,420.0,151.2,1102.0,675.0,0.0,0.0,42.0,3.36,60.24104322214056,60.24104322214056,0.0
668,269.45,190.0,1396.0,698.0,31.7,15.85,0.0,0.0,14.945746632089019,14.945746632089019,0.0
874,142.5,190.0,689.8,911.9,71.25,23.75,237.5,1.6625,28.467053557612633,28.467053557612633,0.0
192,178.0,179.9,1007.3,746.8,118.6,0.0,129.8,3.6,38.449524984866045,38.449524984866045,0.0
123,392.0,186.2,1078.0,628.0,0.0,98.0,0.0,17.15,61.385140635795345,61.385140635795345,0.0
413,360.0,198.0,860.0,819.0,45.0,0.0,45.0,3.2,75.38484974555243,75.38484974555243,0.0
277,154.0,228.0,845.0,612.0,185.0,0.0,174.0,7.0,28.251476355974194,28.251476355974194,0.0
1295,270.0,139.5,771.0,1156.0,0.0,0.0,180.0,0.0,64.04586371050337,64.04586371050337,0.0
661,440.0,209.0,680.9,750.0,110.0,0.0,0.0,7.7,50.479201274480445,50.479201274480445,0.0
184,475.0,200.0,937.0,780.0,0.0,25.0,0.0,0.75,56.086016371613944,56.086016371613944,0.0
589,276.0,161.0,1085.2,693.81,0.0,0.0,184.0,1.104,50.023373189317354,50.023373189317354,0.0
910,340.0,121.0,1205.0,739.0,102.0,10.2,0.0,4.2,53.49140327037843,53.49140327037843,0.0
76,228.0,182.0,1100.0,770.0,0.0,23.0,228.0,1.82,46.7409946193898,46.7409946193898,0.0
1160,346.5,159.6,864.0,864.0,63.0,10.5,0.0,1.68,57.537686754958415,57.537686754958415,0.0
672,237.75,190.0,1396.0,698.0,31.7,47.55,0.0,0.0,17.003369369826704,17.003369369826704,0.0
682,495.38,158.0,1029.0,686.0,0.0,31.62,0.0,10.54,72.00560424360737,72.00560424360737,0.0
806,200.9,185.45,620.51,689.83,283.327,30.9084,0.0,11.3329788,48.16067239479554,48.16067239479554,0.0
1055,302.25,200.0,737.0,937.5,162.75,0.0,0.0,3.72,30.51368294889909,30.51368294889909,0.0
259,152.0,168.0,944.0,695.0,139.0,0.0,178.0,18.0,39.16381921124017,39.16381921124017,0.0
51,235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,39.278714777359816,39.278714777359816,0.0
244,310.0,168.0,914.0,651.0,111.0,0.0,143.0,22.0,42.430343457685304,42.430343457685304,0.0
1331,262.87,197.1,1139.1,657.19,0.0,46.81,159.32,0.0,31.773356292201797,31.773356292201797,0.0
912,286.0,168.0,820.0,807.0,188.0,0.0,0.0,1.69,84.04197268013684,84.04197268013684,0.0
677,237.75,190.0,1396.0,698.0,31.7,47.55,0.0,0.0,17.003369369826704,17.003369369826704,0.0
382,330.0,176.0,928.0,722.0,0.0,0.0,220.0,10.0,62.8776670759755,62.8776670759755,0.0
615,385.0,192.5,834.8,797.1,0.0,0.0,165.0,7.43,56.50680407536515,56.50680407536515,0.0
49,235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,39.278714777359816,39.278714777359816,0.0
367,475.0,175.0,687.0,958.0,0.0,25.0,0.0,8.0,62.12343454771197,62.12343454771197,0.0
799,267.87,185.45,656.81,730.18,226.6616,20.6056,0.0,11.3330184,49.77373825839,49.77373825839,0.0
1245,530.7,244.448,1235.0,523.0,174.9,58.3,0.0,5.36,62.752669559518665,62.752669559518665,0.0
1134,137.0,155.0,1083.0,670.0,0.0,28.0,296.0,0.0,49.56257132156825,49.56257132156825,0.0
1236,583.0,205.216,1235.0,523.0,0.0,58.3,0.0,5.62,66.13788667482491,66.13788667482491,0.0
462,175.0,210.0,952.0,883.0,0.0,0.0,175.0,0.0,39.38182727737859,39.38182727737859,0.0
1048,277.5,293.5,791.0,631.0,0.0,69.5,116.0,0.0,33.335400071100636,33.335400071100636,0.0
